matricula_id,cedula,institucion,programa,estado,fecha_inicio,intensidad_horaria
MAT-00000001,1038106564,Colegio Nacional Loperena,Tecnología en Sistemas,VIGENTE,2024-12-15 21:40:40.427331,36
MAT-00000002,1133172695,Colegio Nacional Loperena,Derecho,VIGENTE,2024-06-18 21:40:39.234281,20
MAT-00000003,1129726738,Colegio Nacional Loperena,Tecnología en Sistemas,VIGENTE,2025-01-14 21:40:40.935609,25
MAT-00000004,1138283383,SENA Regional Antioquia,Economía,VIGENTE,2025-10-11 21:40:39.143884,33
MAT-00000005,1100743994,SENA Regional Bogotá,Tecnología en Electrónica,VIGENTE,2024-04-19 21:40:38.863015,23
MAT-00000006,1137407516,Colegio Distrital San Francisco,Economía,INACTIVA,2024-06-18 21:40:38.770603,0
MAT-00000007,1104779306,SENA Regional Valle del Cauca,Arquitectura,VIGENTE,2025-05-14 21:40:40.956861,28
MAT-00000008,1135549552,Colegio Distrital San Francisco,Tecnología en Contabilidad y Finanzas,INACTIVA,2024-04-19 21:40:40.712417,0
MAT-00000009,1123396700,Institución Educativa José María Córdoba,Tecnología en Contabilidad y Finanzas,VIGENTE,2024-04-19 21:40:38.883943,31
MAT-00000010,1109164874,SENA Regional Antioquia,Tecnología en Electrónica,VIGENTE,2025-11-10 21:40:38.621119,25
MAT-00000011,1144863666,Colegio Departamental Simón Bolívar,Enfermería,VIGENTE,2025-01-14 21:40:39.582186,39
MAT-00000012,1141429022,SENA Regional Antioquia,Tecnología en Contabilidad y Finanzas,INACTIVA,2025-08-12 21:40:40.468745,0
MAT-00000013,1137270664,SENA Regional Antioquia,Ingeniería de Sistemas,VIGENTE,2025-01-14 21:40:39.217419,36
MAT-00000014,1103645298,SENA Regional Antioquia,Tecnología en Electrónica,INACTIVA,2025-05-14 21:40:38.588070,0
MAT-00000015,1143417931,SENA Regional Atlántico,Tecnología en Gestión Administrativa,VIGENTE,2025-03-15 21:40:39.897402,23
MAT-00000016,1128702505,SENA Regional Atlántico,Tecnología en Sistemas,VIGENTE,2025-06-13 21:40:40.700421,29
MAT-00000017,939207,SENA Regional Bogotá,Tecnología en Sistemas,VIGENTE,2024-08-17 21:40:41.054934,35
MAT-00000018,1095784906,SENA Regional Bogotá,Economía,VIGENTE,2024-09-16 21:40:39.158006,33
MAT-00000019,1140268042,SENA Regional Antioquia,Administración de Empresas,VIGENTE,2024-06-18 21:40:40.244996,34
MAT-00000020,1121603236,Colegio Distrital San Francisco,Tecnología en Sistemas,VIGENTE,2025-07-13 21:40:40.853936,22
MAT-00000021,1061654676,Institución Educativa José María Córdoba,Tecnología en Gestión Administrativa,VIGENTE,2024-02-19 21:40:40.019248,32
