sisben_id,cedula,sisben_nivel,sisben_puntaje,departamento,municipio,fecha_actualizacion
1,1038106564,C,55.43,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
2,1134483638,C,61.65,Atlántico,Atlántico,2025-03-30 21:40:41.540111
3,1104503002,C,56.93,Atlántico,Atlántico,2025-03-30 21:40:41.540111
4,1133172695,B,50.67,Antioquia,Antioquia,2025-03-30 21:40:41.540111
5,1110613273,B,54.0,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
6,1129726738,D,78.22,Atlántico,Atlántico,2025-03-30 21:40:41.540111
7,1138283383,D,65.69,Antioquia,Antioquia,2025-03-30 21:40:41.540111
8,1100743994,A,2.73,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
9,1137407516,B,53.83,Antioquia,Antioquia,2025-03-30 21:40:41.540111
10,1095898912,C,60.56,Antioquia,Antioquia,2025-03-30 21:40:41.540111
11,1104779306,A,1.31,Atlántico,Atlántico,2025-03-30 21:40:41.540111
12,1135549552,B,52.71,Antioquia,Antioquia,2025-03-30 21:40:41.540111
13,1123396700,C,60.44,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
14,1109164874,A,28.81,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
15,1144863666,A,4.68,Atlántico,Atlántico,2025-03-30 21:40:41.540111
16,1126458808,B,45.45,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
17,1109094370,D,81.74,Antioquia,Antioquia,2025-03-30 21:40:41.540111
18,1141429022,B,47.83,Antioquia,Antioquia,2025-03-30 21:40:41.540111
19,1143706088,B,54.01,Atlántico,Atlántico,2025-03-30 21:40:41.540111
20,1124829291,A,40.97,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
21,1116904399,D,67.85,Antioquia,Antioquia,2025-03-30 21:40:41.540111
22,1103645298,B,49.94,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
23,1107417991,A,3.91,Atlántico,Atlántico,2025-03-30 21:40:41.540111
24,1106620573,A,14.08,Atlántico,Atlántico,2025-03-30 21:40:41.540111
25,1124390248,C,55.16,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
26,1105640031,A,3.0,Antioquia,Antioquia,2025-03-30 21:40:41.540111
27,1105426249,B,47.12,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
28,1099554136,B,45.8,Antioquia,Antioquia,2025-03-30 21:40:41.540111
29,1104866962,A,3.23,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
30,1143417931,B,51.17,Antioquia,Antioquia,2025-03-30 21:40:41.540111
31,1117918160,C,56.65,Antioquia,Antioquia,2025-03-30 21:40:41.540111
32,1112640189,B,43.08,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
33,1128702505,D,69.4,Antioquia,Antioquia,2025-03-30 21:40:41.540111
34,1106328733,A,15.3,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
35,939207,A,4.07,Atlántico,Atlántico,2025-03-30 21:40:41.540111
36,1081621139,B,44.53,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
37,1095219545,B,48.0,Antioquia,Antioquia,2025-03-30 21:40:41.540111
38,1095784906,A,14.65,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
39,1105037074,C,56.19,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
40,1112494598,D,90.17,Antioquia,Antioquia,2025-03-30 21:40:41.540111
41,1113466295,C,57.04,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
42,1112114380,B,54.58,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
43,1140268042,B,49.76,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
44,1121603236,B,47.8,Atlántico,Atlántico,2025-03-30 21:40:41.540111
45,1103906051,B,54.7,Atlántico,Atlántico,2025-03-30 21:40:41.540111
46,1061654676,C,58.7,Atlántico,Atlántico,2025-03-30 21:40:41.540111
47,1094814375,A,12.61,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
48,1114777031,A,33.26,Bogotá D.C.,Bogotá D.C.,2025-03-30 21:40:41.540111
49,1106453100,B,51.03,Antioquia,Antioquia,2025-03-30 21:40:41.540111
50,1124786556,A,16.77,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
51,1094447648,C,63.74,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
52,1012256125,A,16.94,Valle del Cauca,Valle del Cauca,2025-03-30 21:40:41.540111
