codigo_snies,cedula,programa,institucion,fecha_graduacion,tipo_titulo
SNIES-360628,1104503002,Derecho,,2022-12-11 21:40:38.553044,PROFESIONAL
SNIES-990894,1116904399,Tecnología en Sistemas,,2024-12-10 21:40:39.435033,TECNOLOGO
SNIES-958140,1095219545,Administración de Empresas,,2025-01-20 21:40:41.216428,PROFESIONAL
SNIES-785320,1112494598,Ingeniería Civil,,2022-12-11 21:40:39.781720,PROFESIONAL
SNIES-841089,1113466295,Ingeniería de Sistemas,,2023-12-11 21:40:39.064311,PROFESIONAL
SNIES-878818,1103906051,Tecnología en Gestión Administrativa,,2023-12-11 21:40:39.355245,TECNOLOGO
SNIES-109994,1114777031,Tecnología en Sistemas,,2024-12-10 21:40:39.527977,TECNOLOGO
SNIES-320669,1005232752,Administración de Empresas,Colegio Departamental Simón Bolívar,2022-12-11 21:40:41.309290,PROFESIONAL
SNIES-429057,1092533789,Economía,Centro Educativo Los Pinos,2017-12-12 21:40:41.117251,PROFESIONAL
SNIES-751434,1115965858,Tecnología en Gestión Administrativa,,2023-12-11 21:40:40.488101,TECNOLOGO
SNIES-863940,1102902596,Tecnología en Sistemas,,2024-12-10 21:40:39.390050,TECNOLOGO
SNIES-737019,1111697271,Administración de Empresas,,2024-12-10 21:40:40.933359,PROFESIONAL
SNIES-586213,1103065338,Enfermería,Centro Educativo Los Pinos,2023-12-11 21:40:41.164381,PROFESIONAL
SNIES-720247,1122144783,Psicología,Colegio Nacional Loperena,2025-09-27 21:40:41.269404,PROFESIONAL
SNIES-566954,1214070984,Medicina,,2021-12-11 21:40:41.023998,PROFESIONAL
SNIES-373810,1117648260,Psicología,,2025-10-07 21:40:41.211046,PROFESIONAL
SNIES-142790,1087231344,Enfermería,,2021-12-11 21:40:38.681753,PROFESIONAL
SNIES-177762,1119467400,Tecnología en Sistemas,SENA Regional Antioquia,2024-12-10 21:40:40.265866,TECNOLOGO
SNIES-758785,1103869097,Tecnología en Sistemas,,2024-12-10 21:40:40.566735,TECNOLOGO
SNIES-816239,1109298281,Medicina,,2025-03-21 21:40:41.253416,PROFESIONAL
SNIES-570820,1140451059,Contaduría Pública,Institución Educativa José María Córdoba,2025-10-20 21:40:41.243852,PROFESIONAL
SNIES-847520,1102511267,Tecnología en Gestión Administrativa,,2024-12-10 21:40:40.087809,TECNOLOGO
SNIES-399865,1097957959,Ingeniería Civil,,2021-12-11 21:40:39.947524,PROFESIONAL
SNIES-864799,600830,Enfermería,,2023-12-11 21:40:41.019876,PROFESIONAL
SNIES-411593,1099116188,Derecho,,2021-12-11 21:40:39.549123,PROFESIONAL
SNIES-772581,1100425689,Economía,,2021-12-11 21:40:40.957529,PROFESIONAL
